cashtag,name,link,avgrating,price,mktcap,anrecs,anrecscss,pev,pbv,estpeg,divyld,stockcode
$TRFI,TradePlus NYSE FANG+ Daily (-1x) Inverse Tracker,/mkt/themarket/etf/TRFI,0.0,1.71,1.02,,,0.0,0.0,0.0,0.0,TRFI.KL
$TRFL,TradePlus NYSE FANG+ Daily (2x) Leveraged Tracker,/mkt/themarket/etf/TRFL,0.0,6.73,1.01,,,0.0,0.0,0.0,0.0,TRFL.KL
$TRCM,TradePlus S&P New China Tracker-MYR,/mkt/themarket/etf/TRCM,0.0,5.08,49.09,,,0.0,0.0,0.0,0.0,TRCM.KL
$TRCU,TradePlus S&P New China Tracker-USD,/mkt/themarket/etf/TRCU,0.0,1.29,0.41,,,0.0,0.0,0.0,0.0,TRCU.KL
$TRAD,TradePlus Shariah Gold Tracker,/mkt/themarket/etf/TRAD,0.0,2.45,53.36,,,0.0,0.0,0.0,0.0,TRAD.KL
$TOCE,TRANSOCEAN HLDGS,/mkt/themarket/stock/TOCE,7.0,2.09,136.06,,,55.3,2.38,0.03,0.0,TOCE.KL
$TRCG,TRC SYNERGY,/mkt/themarket/stock/TRCG,9.0,0.33,158.56,BUY,ana_green,7.11,0.35,0.04,3.69,TRCG.KL
$TRIM,TRI-MODE SYSTEM,/mkt/themarket/stock/TRIM,7.0,0.42,69.72,,,6.49,0.85,0.04,2.38,TRIM.KL
$TRIV,TRIVE PROP,/mkt/themarket/stock/TRIV,2.0,0.05,63.18,,,0.0,0.65,-0.08,0.0,TRIV.KL
$TROP,TROPICANA CORP,/mkt/themarket/stock/TROP,5.0,1.16,2318.68,OUTPERFORM,ana_lgreen,0.0,0.45,-0.04,0.0,TROP.KL
$TSHR,TSH RESOURCES,/mkt/themarket/stock/TSHR,8.0,1.03,1423.26,HOLD,ana_yellow,5.41,0.87,0.12,2.91,TSHR.KL
$TSRP,TSR CAPITAL BHD,/mkt/themarket/stock/TSRP,4.0,0.2,34.89,,,0.0,0.25,-0.22,0.0,TSRP.KL
$TUJU,TUJU SETIA,/mkt/themarket/stock/TUJU,4.0,0.285,90.3,,,14.15,0.88,0.03,0.0,TUJU.KL
$TUNE,TUNE PROTECT GRP,/mkt/themarket/stock/TUNE,2.0,0.31,233.05,OUTPERFORM,ana_lgreen,0.0,0.42,-0.02,0.0,TUNE.KL
$TURB,TURBO-MECH,/mkt/themarket/stock/TURB,0.0,0.705,76.14,,,16.31,0.66,0.05,2.84,TURB.KL
$TURY,TURIYA BHD,/mkt/themarket/stock/TURY,4.0,0.18,41.17,,,18.71,0.31,0.01,0.0,TURY.KL
$TWLH,TWL HOLDINGS,/mkt/themarket/stock/TWLH,1.0,0.05,186.51,,,0.0,0.73,0.0,0.0,TWLH.KL
$UCHI,UCHI TECHNOLOGY,/mkt/themarket/stock/UCHI,10.0,3.29,1497.36,OUTPERFORM,ana_lgreen,14.03,7.88,0.2,6.02,UCHI.KL
$UCIR,UCI RESOURCES,/mkt/themarket/stock/UCIR,0.0,0.27,90.02,,,3000.0,4.26,0.0,0.56,UCIR.KL
$UCRE,UCREST BERHAD,/mkt/themarket/stock/UCRE,1.0,0.08,49.75,,,0.0,1.91,-0.06,0.0,UCRE.KL
$UEME,UEM EDGENTA BHD,/mkt/themarket/stock/UEME,6.0,1.28,1064.48,OUTPERFORM,ana_lgreen,21.19,0.68,0.05,2.38,UEME.KL
$UMSB,UEM SUNRISE,/mkt/themarket/stock/UMSB,3.0,0.29,1466.96,HOLD,ana_yellow,0.0,0.22,-0.04,0.0,UMSB.KL
$UMED,UMEDIC GROUP,/mkt/themarket/stock/UMED,0.0,0.72,269.22,BUY,ana_green,0.0,15.32,0.01,0.0,UMED.KL
$UMSH,UMS HOLDINGS,/mkt/themarket/stock/UMSH,0.0,1.81,73.65,,,39.25,0.45,0.11,3.31,UMSH.KL
$UMSN,UMS-NEIKEN GROUP,/mkt/themarket/stock/UMSN,0.0,0.96,76.8,,,6.61,0.69,0.13,3.13,UMSN.KL
$UMWS,UMW HOLDINGS,/mkt/themarket/stock/UMWS,10.0,3.07,3586.66,OUTPERFORM,ana_lgreen,8.96,0.7,0.23,1.89,UMWS.KL
$UNIW,UNI WALL APS,/mkt/themarket/stock/UNIW,0.0,0.79,577.81,,,0.0,16.01,0.01,0.0,UNIW.KL
$UMEC,UNIMECH GROUP,/mkt/themarket/stock/UMEC,10.0,1.47,221.63,,,7.81,0.76,0.16,3.1,UMEC.KL
$UNIQ,UNIQUE FIRE,/mkt/themarket/stock/UNIQ,0.0,0.215,86.0,,,0.0,1.53,0.02,0.0,UNIQ.KL
$UNSM,UNISEM (M) BHD,/mkt/themarket/stock/UNSM,5.0,2.6,4194.01,OUTPERFORM,ana_lgreen,11.61,1.9,0.12,1.96,UNSM.KL
$UMRS,UNITED MALACCA,/mkt/themarket/stock/UMRS,9.0,5.4,1132.75,HOLD,ana_yellow,10.43,0.81,0.52,1.86,UMRS.KL
$UTPS,UNITED PLANTATNS,/mkt/themarket/stock/UTPS,10.0,15.2,6327.28,HOLD,ana_yellow,11.48,2.38,1.25,6.22,UTPS.KL
$UULI,UNITED U-LI CORP,/mkt/themarket/stock/UULI,7.0,1.0,217.8,HOLD,ana_yellow,4.89,0.67,0.2,2.01,UULI.KL
$UNIT,UNITRADE INDUST,/mkt/themarket/stock/UNIT,5.0,0.245,382.81,,,0.0,1.66,0.03,3.35,UNIT.KL
$UOAD,UOA DEVELOPMENT,/mkt/themarket/stock/UOAD,6.0,1.74,4190.94,HOLD,ana_yellow,19.91,0.74,0.1,5.75,UOAD.KL
$UOAR,UOA REIT,/mkt/themarket/reit/UOAR,6.0,1.13,763.43,OUTPERFORM,ana_lgreen,18.14,0.77,0.06,6.79,UOAR.KL
$UPAB,UPA CORP,/mkt/themarket/stock/UPAB,6.0,2.12,168.71,,,14.73,0.59,0.14,3.98,UPAB.KL
$UWCB,UWC BERHAD,/mkt/themarket/stock/UWCB,7.0,4.0,4405.46,OUTPERFORM,ana_lgreen,44.15,13.95,0.08,0.43,UWCB.KL
$UZMA,UZMA BHD,/mkt/themarket/stock/UZMA,5.0,0.41,144.33,OUTPERFORM,ana_lgreen,24.74,0.26,0.02,0.0,UZMA.KL
$VSID,V.S. INDUSTRY,/mkt/themarket/stock/VSID,6.0,1.01,3885.84,OUTPERFORM,ana_lgreen,21.54,1.89,0.06,2.2,VSID.KL
$VELE,VELESTO ENERGY,/mkt/themarket/stock/VELE,2.0,0.09,739.4,OUTPERFORM,ana_lgreen,0.0,0.31,-0.01,0.0,VELE.KL
$VSTL,VERSATILE CREATI,/mkt/themarket/stock/VSTL,7.0,0.515,144.25,,,0.0,1.86,-0.0,0.0,VSTL.KL
$VINV,VINVEST CAPITAL,/mkt/themarket/stock/VINV,2.0,0.195,188.98,,,157.26,0.31,0.0,0.0,VINV.KL
$VSDY,VISDYNAMICS HLDG,/mkt/themarket/stock/VSDY,8.0,0.74,129.29,,,10.82,2.21,0.05,2.11,VSDY.KL
$VTRX,VITROX CORP BHD,/mkt/themarket/stock/VTRX,7.0,7.2,6801.44,OUTPERFORM,ana_lgreen,36.47,9.49,0.18,0.64,VTRX.KL
$VIZI,VIZIONE HLD,/mkt/themarket/stock/VIZI,2.0,0.06,122.86,,,0.0,0.21,-0.09,0.0,VIZI.KL
$VOLC,VOLCANO,/mkt/themarket/stock/VOLC,9.0,0.39,64.35,,,8.86,0.81,0.04,3.33,VOLC.KL
$VORT,VORTEX CONSOLIDA,/mkt/themarket/stock/VORT,3.0,0.165,181.78,,,23.54,0.66,0.01,0.0,VORT.KL
$VPDJ,VP-DJ SHARIA-ETF,/mkt/themarket/stock/VPDJ,0.0,1.45,29.0,,,0.0,0.0,0.0,0.0,VPDJ.KL
$VPDJ,VP-DJ Shariah China A-Shares 100 ETF,/mkt/themarket/etf/VPDJ,0.0,1.45,29.0,,,0.0,0.0,0.0,0.0,VPDJ.KL
$VSOL,VSOLAR GRP BHD,/mkt/themarket/stock/VSOL,1.0,0.01,48.35,,,0.0,0.24,-0.01,0.0,VSOL.KL
$VSTE,VSTECS BHD,/mkt/themarket/stock/VSTE,10.0,1.06,381.6,HOLD,ana_yellow,6.61,1.02,0.15,4.91,VSTE.KL
$WAHE,WAH SEONG CORP,/mkt/themarket/stock/WAHE,7.0,0.675,523.05,OUTPERFORM,ana_lgreen,0.0,0.86,-0.14,0.0,WAHE.KL
$WAJA,WAJA KONSORTIUM,/mkt/themarket/stock/WAJA,3.0,0.075,73.89,,,0.0,1.81,-0.03,0.0,WAJA.KL
$WGZH,WANG-ZHENG BHD,/mkt/themarket/stock/WGZH,0.0,0.8,128.0,,,16.51,0.65,0.05,2.5,WGZH.KL
$WATC,WARISAN TC HLDGS,/mkt/themarket/stock/WATC,6.0,1.18,79.3,,,0.0,0.33,-0.5,0.0,WATC.KL
$WATA,WATTA HOLDING,/mkt/themarket/stock/WATA,0.0,0.5,42.24,,,0.0,0.76,-0.01,0.0,WATA.KL
$WCEH,WCE HOLDINGS,/mkt/themarket/stock/WCEH,3.0,0.26,776.8,,,0.0,0.77,-0.04,0.0,WCEH.KL
$WCTE,WCT HOLDINGS BHD,/mkt/themarket/stock/WCTE,7.0,0.455,645.26,OUTPERFORM,ana_lgreen,6.02,0.17,0.07,1.12,WCTE.KL
$WEGM,WEGMANS HLDG BRD,/mkt/themarket/stock/WEGM,6.0,0.205,112.76,,,11.02,1.08,0.01,0.0,WEGM.KL
$WCAL,WELLCALL HOLDING,/mkt/themarket/stock/WCAL,10.0,1.25,622.43,OUTPERFORM,ana_lgreen,17.44,4.9,0.07,5.76,WCAL.KL
$WPHB,WESTPORTS HLDNGS,/mkt/themarket/stock/WPHB,7.0,3.45,11764.5,OUTPERFORM,ana_lgreen,15.94,3.75,0.24,4.71,WPHB.KL
$WHSE,WHITE HORSE BHD,/mkt/themarket/stock/WHSE,10.0,0.625,150.0,SELL,ana_dred,3.27,0.24,0.07,4.92,WHSE.KL
$WIDA,WIDAD GROUP,/mkt/themarket/stock/WIDA,3.0,0.35,963.38,,,19.35,2.69,0.02,0.0,WIDA.KL
$WLOW,WILLOWGLEN MSC,/mkt/themarket/stock/WLOW,8.0,0.355,176.08,,,10.8,0.93,0.03,4.35,WLOW.KL
$WMGH,WMG HOLDINGS BRD,/mkt/themarket/stock/WMGH,4.0,0.1,44.46,,,0.0,0.23,-0.02,0.0,WMGH.KL
$WENG,WONG ENGINEERING,/mkt/themarket/stock/WENG,3.0,0.425,107.16,,,21.01,1.32,0.04,1.28,WENG.KL
$WLAN,WOODLANDOR HLDGS,/mkt/themarket/stock/WLAN,3.0,0.675,27.0,,,0.0,0.84,-0.12,0.0,WLAN.KL
$WTKH,WTK HOLDINGS,/mkt/themarket/stock/WTKH,9.0,0.525,252.71,HOLD,ana_yellow,9.39,0.32,-0.02,2.86,WTKH.KL
$XIDE,XIDELANG HLDGS,/mkt/themarket/stock/XIDE,3.0,0.02,42.33,,,0.0,0.04,-0.01,0.0,XIDE.KL
$XINW,XIN HWA HLDGS,/mkt/themarket/stock/XINW,7.0,0.265,67.75,,,14.87,0.34,0.02,0.0,XINW.KL
$XLHO,XL HOLDINGS,/mkt/themarket/stock/XLHO,4.0,0.675,147.26,,,86.71,1.78,0.0,0.0,XLHO.KL
$XOXB,XOX BHD,/mkt/themarket/stock/XOXB,4.0,0.015,75.76,,,0.0,0.33,-0.01,0.0,XOXB.KL
$XOXN,XOX NETWORKS,/mkt/themarket/stock/XOXN,4.0,0.025,28.39,,,0.0,0.54,-0.02,0.0,XOXN.KL
$XOXT,XOX TECHNOLOGY,/mkt/themarket/stock/XOXT,6.0,0.035,31.37,,,0.0,1.47,-0.01,0.0,XOXT.KL
$YGCB,Y&G CORPORATION,/mkt/themarket/stock/YGCB,0.0,0.8,174.78,,,21.47,0.58,0.04,0.0,YGCB.KL
$YSPS,Y.S.P.SOUTHEAST,/mkt/themarket/stock/YSPS,9.0,2.08,293.31,OUTPERFORM,ana_lgreen,11.35,0.83,0.11,3.41,YSPS.KL
$YBVE,YB VENTURES BHD,/mkt/themarket/stock/YBVE,6.0,0.435,126.72,,,27.7,0.42,0.04,0.0,YBVE.KL
$YBSI,YBS INTERNATIONA,/mkt/themarket/stock/YBSI,5.0,0.65,163.59,,,13.61,2.23,0.02,0.0,YBSI.KL
$YENH,YENHER HOLDINGS,/mkt/themarket/stock/YENH,8.0,0.79,237.0,,,11.38,1.24,0.08,3.75,YENH.KL
$YEWL,YEW LEE PACIFIC,/mkt/themarket/stock/YEWL,3.0,0.26,138.43,,,0.0,3.33,0.02,4.62,YEWL.KL
$YGLC,YGL CONVERGENCE,/mkt/themarket/stock/YGLC,7.0,0.13,33.22,,,0.0,2.53,-0.0,0.0,YGLC.KL
$YINS,YINSON HOLDINGS,/mkt/themarket/stock/YINS,6.0,2.14,6532.21,OUTPERFORM,ana_lgreen,12.67,1.51,0.16,1.77,YINS.KL
$YLIH,YLI HOLDINGS,/mkt/themarket/stock/YLIH,5.0,0.26,26.77,,,0.0,0.23,-0.05,0.0,YLIH.KL
$YNHB,YNH PROPERTY BHD,/mkt/themarket/stock/YNHB,5.0,3.97,2100.13,,,0.0,1.68,-0.01,0.0,YNHB.KL
$YONG,YONG TAI BHD,/mkt/themarket/stock/YONG,1.0,0.225,64.37,HOLD,ana_yellow,0.0,0.23,-1.27,0.0,YONG.KL
$YGON,YOONG ONN CORP,/mkt/themarket/stock/YGON,10.0,1.2,192.0,,,5.48,0.68,0.21,3.85,YGON.KL
$YTLS,YTL CORPORATION,/mkt/themarket/stock/YTLS,7.0,0.575,6338.09,HOLD,ana_yellow,12.01,0.5,0.05,5.17,YTLS.KL
$YTLP,YTL POWER,/mkt/themarket/stock/YTLP,9.0,0.745,6077.87,OUTPERFORM,ana_lgreen,4.75,0.42,0.15,6.12,YTLP.KL
$YTLR,YTLHOSP REIT,/mkt/themarket/reit/YTLR,5.0,0.93,1585.08,HOLD,ana_yellow,18.9,0.57,0.05,4.25,YTLR.KL
$YKGI,YUNG KONG GALVAN,/mkt/themarket/stock/YKGI,4.0,0.125,56.22,,,12.2,0.84,0.01,0.0,YKGI.KL
$YXPR,YX PRECIOUS META,/mkt/themarket/stock/YXPR,0.0,0.185,68.85,,,0.0,1.13,0.02,0.0,YXPR.KL
$ZCON,ZECON BHD,/mkt/themarket/stock/ZCON,8.0,0.4,58.96,,,0.0,0.25,0.25,0.0,ZCON.KL
$ZLAN,ZELAN BHD,/mkt/themarket/stock/ZLAN,2.0,0.05,42.25,,,5.11,0.52,0.0,0.0,ZLAN.KL
$ZENT,ZEN TECH INTERNA,/mkt/themarket/stock/ZENT,2.0,0.02,16.17,,,9.09,0.58,0.0,0.0,ZENT.KL
$ZHCO,ZHULIAN CORP BHD,/mkt/themarket/stock/ZHCO,8.0,1.95,897.0,,,17.15,1.66,0.09,6.15,ZHCO.KL
