cashtag,name,link,avgrating,price,mktcap,anrecs,anrecscss,pev,pbv,estpeg,divyld,stockcode
$SCIE,SCIENTEX PACKAG,/mkt/themarket/stock/SCIE,6.0,2.3,807.69,OUTPERFORM,ana_lgreen,18.51,2.91,0.14,0.0,SCIE.KL
$SCES,SCOMI ENERGY SRV,/mkt/themarket/stock/SCES,1.0,0.02,9.37,,,0.0,0.17,-0.46,0.0,SCES.KL
$SCOI,SCOMI GROUP BHD,/mkt/themarket/stock/SCOI,0.0,0.005,5.47,,,0.0,0.24,-0.02,0.0,SCOI.KL
$SCPE,SCOPE INDUSTRIES,/mkt/themarket/stock/SCPE,6.0,0.165,190.36,,,24.15,1.67,0.01,0.0,SCPE.KL
$SDSG,SDS GROUP,/mkt/themarket/stock/SDSG,7.0,0.56,229.39,,,14.8,2.86,0.03,1.1,SDSG.KL
$SCER,SEACERA GRP BHD,/mkt/themarket/stock/SCER,6.0,0.17,105.77,,,8.13,0.15,0.01,0.0,SCER.KL
$SEAL,SEAL INCORPORATE,/mkt/themarket/stock/SEAL,4.0,0.215,62.14,,,13.99,0.2,0.01,0.0,SEAL.KL
$SLKI,SEALINK INTL BHD,/mkt/themarket/stock/SLKI,2.0,0.075,37.5,,,0.0,0.16,-0.13,0.0,SLKI.KL
$SECU,SECUREMETRIC,/mkt/themarket/stock/SECU,4.0,0.085,49.0,,,0.0,1.22,-0.0,0.0,SECU.KL
$SEDA,SEDANIA INNO,/mkt/themarket/stock/SEDA,1.0,0.3,104.21,,,25.31,2.77,0.03,0.0,SEDA.KL
$SCHB,SEE HUP CONSOLID,/mkt/themarket/stock/SCHB,9.0,1.12,90.08,,,3.63,0.97,0.31,2.81,SCHB.KL
$SEER,SEERS BERHAD,/mkt/themarket/stock/SEER,0.0,0.1,25.76,,,0.0,13.2,-0.01,0.0,SEER.KL
$SEDU,SEG INTL,/mkt/themarket/stock/SEDU,7.0,0.635,803.26,,,17.08,4.99,0.04,6.3,SEDU.KL
$SENG,SENG FONG HOLDIN,/mkt/themarket/stock/SENG,0.0,0.745,386.63,,,10.24,3.51,0.07,0.0,SENG.KL
$SENH,SENHENG NEW,/mkt/themarket/stock/SENH,4.0,0.695,1042.5,OUTPERFORM,ana_lgreen,15.14,4.33,0.04,2.67,SENH.KL
$SENI,SENI JAYA CORP,/mkt/themarket/stock/SENI,4.0,2.37,115.02,,,0.0,2.49,-0.4,0.0,SENI.KL
$SNTO,SENTORIA GROUP,/mkt/themarket/stock/SNTO,3.0,0.145,82.26,OUTPERFORM,ana_lgreen,0.0,0.48,-0.17,0.0,SNTO.KL
$SENT,SENTRAL REIT,/mkt/themarket/reit/SENT,6.0,0.925,991.4,HOLD,ana_yellow,15.41,0.77,0.07,7.81,SENT.KL
$SERB,SERBA DINAMIK,/mkt/themarket/stock/SERB,3.0,0.035,130.45,SELL,ana_dred,0.0,0.06,-0.3,181.67,SERB.KL
$SERE,SEREMBAN ENG,/mkt/themarket/stock/SERE,7.0,1.16,92.8,,,17.79,3.11,0.06,0.0,SERE.KL
$SKOU,SERN KOU RESOURC,/mkt/themarket/stock/SKOU,6.0,0.795,678.39,,,88.43,3.34,0.01,0.0,SKOU.KL
$SSOL,SERSOL BERHAD,/mkt/themarket/stock/SSOL,1.0,0.11,59.8,,,0.0,2.67,-0.0,0.0,SSOL.KL
$SFPT,SFP TECH HOLDING,/mkt/themarket/stock/SFPT,1.0,1.29,1032.0,OUTPERFORM,ana_lgreen,0.0,12.78,0.02,0.0,SFPT.KL
$SBRK,SG BAGAN RUBBER,/mkt/themarket/stock/SBRK,7.0,3.16,209.61,,,13.85,0.34,0.66,2.22,SBRK.KL
$SHGM,SHANGRI-LA HOTEL,/mkt/themarket/stock/SHGM,5.0,3.43,1509.2,,,0.0,1.84,-0.21,0.0,SHGM.KL
$SHHR,SHH RESOURCES,/mkt/themarket/stock/SHHR,5.0,0.65,65.0,,,217.71,0.85,0.04,0.0,SHHR.KL
$SYSC,SHIN YANG CORP,/mkt/themarket/stock/SYSC,9.0,0.75,900.0,,,5.7,0.79,0.12,0.0,SYSC.KL
$SHLC,SHL CONSOLIDATED,/mkt/themarket/stock/SHLC,0.0,1.95,472.14,HOLD,ana_yellow,9.58,0.55,0.2,4.62,SHLC.KL
$SIAB,SIAB HOLDINGS,/mkt/themarket/stock/SIAB,2.0,0.15,73.45,,,0.0,1.93,0.01,0.0,SIAB.KL
$SGNA,SIGNATURE INTL,/mkt/themarket/stock/SGNA,4.0,1.7,501.92,UNDERPERFORM,ana_red,18.56,2.44,0.03,0.0,SGNA.KL
$SIVR,SILVER RIDGE HLD,/mkt/themarket/stock/SIVR,1.0,0.075,14.71,,,0.0,1.85,-0.02,0.0,SIVR.KL
$SIME,SIME DARBY BHD,/mkt/themarket/stock/SIME,6.0,2.29,15594.71,OUTPERFORM,ana_lgreen,14.38,0.99,0.16,4.94,SIME.KL
$SIPL,SIME DARBY PLANT,/mkt/themarket/stock/SIPL,6.0,4.28,29599.26,HOLD,ana_yellow,11.28,1.69,0.33,5.27,SIPL.KL
$SIPR,SIME DARBY PROP,/mkt/themarket/stock/SIPR,6.0,0.47,3196.4,OUTPERFORM,ana_lgreen,14.85,0.35,0.02,4.3,SIPR.KL
$SHCS,SIN HENG CHAN,/mkt/themarket/stock/SHCS,6.0,0.36,105.44,,,6.27,0.36,0.38,0.0,SHCS.KL
$SINA,SINARAN ADVANCE,/mkt/themarket/stock/SINA,2.0,0.055,50.32,,,0.0,1.53,-0.01,0.0,SINA.KL
$SINM,SINMAH CAPITAL,/mkt/themarket/stock/SINM,3.0,0.11,43.17,,,0.0,0.41,-0.02,0.0,SINM.KL
$SKBC,SKB SHUTTERS,/mkt/themarket/stock/SKBC,7.0,0.365,48.18,,,6.99,0.54,0.04,0.0,SKBC.KL
$SKPR,SKP RESOURCES,/mkt/themarket/stock/SKPR,8.0,1.7,2656.65,OUTPERFORM,ana_lgreen,14.47,3.17,0.11,3.36,SKPR.KL
$SLIN,SL INNOVATION,/mkt/themarket/stock/SLIN,0.0,0.405,51.44,,,31.67,3.4,0.01,0.0,SLIN.KL
$SLPB,SLP RESOURCES,/mkt/themarket/stock/SLPB,7.0,0.9,285.26,OUTPERFORM,ana_lgreen,13.84,1.52,0.06,6.18,SLPB.KL
$SMIL,SMILE-LINK,/mkt/themarket/stock/SMIL,0.0,0.2,50.08,,,0.0,1.52,-0.0,2.0,SMIL.KL
